"protein_id","group_id","membership_weight"
"O75439","comp1",-0.0868718715313431
"O75821","comp1",0.141761751806501
"O95167","comp1",-0.00704600948596325
"O95278","comp1",-0.122252384004597
"O95372","comp1",0.335210289096318
"P02794","comp1",0.163916863046585
"P09110","comp1",-0.174235271368423
"P12956","comp1",0.0299198262935268
"P15927","comp1",0.146907983157682
"P23297","comp1",0.255473678418071
"P35052","comp1",0.12959696409993
"P36507","comp1",0.140033223941244
"P49773","comp1",0.0929078684229145
"P55083","comp1",0.137609340940959
"P55884","comp1",-0.0144396134088292
"P59998","comp1",0.06442271840761
"P60033","comp1",0.0961479411424545
"Q00013","comp1",-0.0167964741334742
"Q00577","comp1",0.0158744373567462
"Q01130","comp1",-0.209235899230241
"Q04828","comp1",0.230735778763233
"Q16890","comp1",0.124116524798487
"Q5RI15","comp1",0.247686275264916
"Q6JQN1","comp1",-0.112251946425569
"Q86YB7","comp1",-0.101601831860149
"Q8IZ83","comp1",-0.0854914917357457
"Q8NCN5","comp1",-0.0273201225884176
"Q8TCT8","comp1",0.171605209044233
"Q96HN2","comp1",0.269125303459987
"Q9H0E2","comp1",0.214202562678542
"Q9H7C4","comp1",0.0755106254271035
"Q9H993","comp1",0.379626940117014
"Q9HD33","comp1",0.0350419399985398
"Q9UHD8","comp1",-0.0395700695328678
"Q9UI12","comp1",0.212896099350113
"Q9UJZ1","comp1",-0.173353758446521
"Q9UM00","comp1",0.077987749549699
"Q9UN36","comp1",0.161156737994845
"Q9Y450","comp1",-0.0547064603227091
"Q9Y5L0","comp1",0.0798108670791869
"O00757","comp2",0.110986158820052
"O14874","comp2",0.140177103184729
"O60506","comp2",0.01471242780011
"O95140","comp2",-0.185661992941193
"P01889","comp2",0.139467119006246
"P10155","comp2",0.0231110452329275
"P17812","comp2",0.0134670789847672
"P23297","comp2",0.0237737001363358
"P26196","comp2",-0.126201016603067
"P29972","comp2",-0.0148787170919145
"P35244","comp2",-0.180019372461405
"P38159","comp2",0.0470331524687925
"P45880","comp2",-0.121543031332652
"P50416","comp2",-0.0197330320536976
"P52209","comp2",0.156556613872625
"P52566","comp2",0.00887447976674
"P54284","comp2",-0.0835549147334374
"P55884","comp2",-0.128444336858101
"P59998","comp2",0.141771365705576
"P62841","comp2",0.269398929127146
"Q02878","comp2",0.0431855858869585
"Q06432","comp2",0.307600770357044
"Q12907","comp2",-0.323685816974983
"Q4G0W2","comp2",-0.0646946350595091
"Q8N0X4","comp2",0.419805114101205
"Q8TCS8","comp2",0.0796906746035171
"Q93100","comp2",0.16299521730707
"Q96CM8","comp2",-0.127857582037608
"Q99584","comp2",0.0183130114236387
"Q9BYT8","comp2",0.0586535177741301
"Q9H9S4","comp2",-0.0277179666431174
"Q9NR19","comp2",-0.0779667348962093
"Q9NRV9","comp2",0.0179924871565782
"Q9NT62","comp2",-0.282594384979615
"Q9Y262","comp2",-0.188642192198082
"Q9Y295","comp2",0.0858543554279648
"Q9Y3C4","comp2",-0.137953516316871
"Q9Y5L0","comp2",0.0388646855995553
"Q9Y5L4","comp2",-0.2364359660481
"Q9Y5Y2","comp2",0.254542856104696
